Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
MotorImagery;2024-05-13 10:12:24.5533;13193;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;5;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 10:12:37.1245;16159;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;6;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
MotorImagery;2024-05-13 10:12:38.2677;16421;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;7;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
Resting;2024-05-13 10:12:38.5415;16484;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.9034;0.0000;0.1602;1.4398;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:12:49.6133;19115;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;8;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 10:12:50.7452;19379;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;9;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-13 10:12:52.6066;19809;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.8265;0.8265;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:12:52.7293;19837;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8289;NULL;NULL;NULL;NULL;10;(0.825 0.820 0.804 0.819 0.827 0.829 0.724 0.754 )
MotorImagery;2024-05-13 10:13:03.0756;22273;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;11;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-13 10:13:04.2125;22536;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;12;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
MotorImagery;2024-05-13 10:13:05.3563;22803;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;13;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
MotorImagery;2024-05-13 10:13:06.4943;23071;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;14;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
Resting;2024-05-13 10:13:06.6642;23110;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.8284;0.0000;1.0593;0.5407;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:13:19.5982;26174;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.7235;NULL;NULL;NULL;NULL;15;(0.731 0.752 0.758 0.740 0.738 0.740 0.724 0.726 )
Resting;2024-05-13 10:13:20.7191;26431;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.8180;0.0000;0.6298;0.9702;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:13:20.7320;26434;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8078;NULL;NULL;NULL;NULL;16;(0.747 0.770 0.780 0.809 0.830 0.818 0.808 0.736 )
MotorImagery;2024-05-13 10:13:31.1870;28929;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;17;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-13 10:13:32.3221;29187;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;18;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
Resting;2024-05-13 10:13:34.7747;29774;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;0.9153;0.0000;0.0891;1.5109;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:13:48.7225;33093;35b1288608c47f8c4b5b3d303235e5bc;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;19;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
GameStopped;2024-05-13 10:13:55.9062;34814;35b1288608c47f8c4b5b3d303235e5bc;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
