Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
SuccessfulHit;2024-05-09 09:39:14.1850;14271;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7430;NULL;0.8984;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:39:14.3102;14292;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7266;19;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:14.3102;14292;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7525;NULL;0.8984;TRUE;NULL;NULL;NULL
Resting;2024-05-09 09:39:14.9113;14385;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.5958;NULL;0.8984;TRUE;28.9046;21.0954;50.0000
MotorImagery;2024-05-09 09:39:25.9517;16055;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7635;20;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:25.9517;16055;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7390;NULL;0.7390;TRUE;NULL;NULL;NULL
Rest;2024-05-09 09:39:26.1993;16095;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7400;20;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:26.1993;16095;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.8701;NULL;0.8701;TRUE;NULL;NULL;NULL
Resting;2024-05-09 09:39:28.9773;16522;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.3333;NULL;0.8701;TRUE;6.4435;43.5565;50.0000
Resting;2024-05-09 09:39:42.9905;18695;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.4553;NULL;0.7484;FALSE;50.0000;0.0000;50.0000
MotorImagery;2024-05-09 09:39:51.5090;20014;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7753;21;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:51.5090;20014;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.6542;NULL;0.6542;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:51.6505;20036;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.6847;21;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:51.6505;20036;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7573;NULL;0.7753;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:52.7845;20214;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7757;22;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:52.7845;20214;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7260;NULL;0.7753;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:53.1842;20276;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7361;22;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:53.1842;20276;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7642;NULL;0.7859;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:53.3068;20295;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7746;23;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:53.3068;20295;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7427;NULL;0.7859;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:53.6750;20354;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7169;23;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:53.6750;20354;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7782;NULL;0.8030;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:53.9373;20394;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7563;24;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:53.9373;20394;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7250;NULL;0.8030;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:39:54.1900;20434;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7346;24;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:39:54.1900;20434;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7521;NULL;0.8030;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:39:54.4591;20478;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7570;25;NULL;NULL;NULL;NULL;NULL
